rank,cluster_id,size
1,40,222
2,43,179
3,21,160
4,34,129
5,55,94
6,24,93
7,15,92
8,11,90
9,62,84
10,30,78
11,17,77
12,5,75
13,23,75
14,6,73
15,31,72
16,45,70
17,60,63
18,59,61
19,19,60
20,3,55
21,61,55
22,13,54
23,42,49
24,18,49
25,44,46
26,35,41
27,16,38
28,28,38
29,38,38
30,49,34
31,36,33
32,9,33
33,47,31
34,50,31
35,54,31
36,52,30
37,0,30
38,27,30
39,10,29
40,29,29
41,14,26
42,12,25
43,2,25
44,51,23
45,1,22
46,25,22
47,33,20
48,8,20
49,41,19
50,53,18
51,57,18
52,7,18
53,48,18
54,26,17
55,4,17
56,22,17
57,46,16
58,39,16
59,58,16
60,37,16
61,56,15
62,32,15
63,20,15
